% Author: Mohamed Idries
% Date and Time: 25 July 2016 15:23
% Comment:
% In this trial I installed a single sonar (maxSonar EZ 1) 3m from each wall. 
% *----------------------
% |         
% |           ^
% |	      3m
% |         
% |   
% |  < 3m     X
% |
% 
% Assuming 0 degrees is pointing up and 90 degrees is pointing to the left.
% I obtained the data by slowly moving it around the fixed point from 0 degrees to 90 degrees.
% Format: Milliseconds, Sonar, AccX, AccY, AccZ, GyrX, GyrY, GyrZ
508,297,-2072,608,15292,-204,177,-147
512,294,-2088,620,15276,-182,182,-151
516,294,-2100,728,15412,-192,198,-143
519,294,-2120,620,15376,-191,187,-140
523,294,-2116,580,15288,-195,206,-140
526,294,-2060,704,15392,-195,168,-152
530,294,-2084,644,15388,-190,202,-162
533,294,-2032,556,15324,-187,212,-144
537,294,-2140,652,15320,-173,206,-112
540,294,-2156,636,15428,-182,187,-151
544,294,-2040,688,15428,-192,193,-170
547,294,-2124,644,15412,-180,200,-124
551,294,-2164,632,15368,-186,209,-145
555,294,-2272,656,15348,-200,186,-147
559,294,-2096,608,15400,-190,196,-153
562,294,-2088,696,15424,-193,183,-148
566,294,-2152,644,15300,-201,202,-160
570,294,-2160,704,15412,-182,207,-149
573,294,-2128,736,15224,-203,193,-147
577,294,-2116,608,15436,-179,180,-140
580,294,-2176,648,15472,-188,208,-140
584,294,-2096,700,15460,-187,171,-142
587,294,-2112,624,15380,-185,182,-155
591,294,-2028,660,15376,-192,200,-136
594,294,-2080,716,15288,-190,182,-158
599,294,-2204,728,15396,-191,172,-145
602,294,-2152,648,15424,-194,186,-148
606,294,-2096,716,15320,-190,213,-140
609,297,-2128,772,15608,-190,174,-157
613,294,-2028,680,15408,-187,182,-160
616,294,-2144,612,15396,-186,185,-159
620,294,-2084,656,15304,-181,177,-152
623,294,-2148,612,15396,-209,189,-149
627,294,-2140,692,15372,-202,187,-159
630,294,-2072,660,15456,-181,184,-155
634,294,-2136,700,15284,-194,192,-145
637,294,-2088,700,15368,-176,197,-154
642,294,-2128,652,15428,-182,205,-116
645,294,-2132,720,15400,-191,205,-158
649,297,-2156,700,15328,-200,198,-167
653,294,-2092,664,15372,-183,211,-140
656,297,-2064,716,15316,-176,182,-137
660,294,-2036,576,15340,-195,187,-137
663,294,-2036,668,15396,-196,198,-157
667,294,-2124,768,15296,-191,198,-141
670,294,-2136,676,15468,-197,202,-140
674,294,-2096,700,15272,-181,194,-142
677,294,-2112,708,15276,-179,198,-135
681,294,-2036,700,15320,-197,181,-146
685,294,-2212,692,15340,-197,208,-146
689,294,-2152,612,15392,-180,203,-160
692,294,-2112,740,15368,-186,209,-144
696,294,-2220,660,15340,-181,179,-146
699,294,-2104,620,15308,-181,192,-131
703,297,-2144,668,15288,-181,200,-146
706,297,-2108,656,15392,-174,180,-147
710,294,-2056,564,15408,-186,196,-152
713,292,-2084,760,15360,-189,195,-151
717,292,-2096,764,15260,-190,182,-145
720,292,-2068,640,15304,-199,190,-134
724,294,-2020,704,15400,-176,190,-139
728,294,-2068,716,15260,-185,194,-154
732,292,-2076,672,15436,-166,204,-151
736,294,-2172,688,15312,-188,185,-156
739,294,-2172,696,15424,-198,188,-155
743,294,-2040,688,15408,-199,215,-129
746,294,-2052,604,15304,-192,179,-147
750,294,-2028,620,15272,-217,186,-138
753,294,-2144,684,15360,-183,205,-141
757,294,-2164,740,15432,-209,186,-150
760,294,-2200,724,15300,-205,164,-146
764,294,-1996,724,15420,-196,190,-139
768,294,-2040,636,15492,-188,188,-160
772,294,-2092,648,15420,-187,213,-146
775,294,-2152,696,15480,-184,189,-138
779,294,-2196,672,15536,-201,213,-142
782,294,-2028,724,15220,-183,189,-162
786,294,-2128,596,15216,-200,189,-124
789,294,-2072,740,15408,-187,203,-156
793,294,-2080,652,15372,-189,171,-136
796,294,-2120,672,15324,-167,188,-147
800,294,-1992,700,15260,-199,207,-144
803,294,-2076,768,15312,-177,179,-169
807,297,-2180,648,15416,-203,183,-135
811,299,-2060,656,15440,-183,190,-157
815,299,-2108,636,15336,-178,201,-145
819,299,-2188,680,15408,-169,192,-163
822,299,-2096,704,15288,-206,188,-145
826,299,-2112,692,15440,-182,186,-149
829,299,-2120,728,15288,-173,202,-143
833,299,-2072,736,15384,-182,197,-147
836,299,-2120,780,15448,-190,199,-157
840,299,-2084,600,15320,-204,200,-143
843,299,-2048,660,15328,-185,181,-149
847,299,-2052,680,15340,-204,199,-154
850,299,-2172,568,15300,-193,192,-121
855,299,-2140,716,15456,-184,205,-145
858,294,-2096,704,15244,-189,194,-135
862,294,-2112,740,15280,-189,191,-151
865,294,-2192,692,15524,-189,200,-165
869,294,-2096,568,15192,-174,198,-156
872,294,-2048,728,15324,-193,203,-147
876,294,-2072,660,15396,-189,175,-119
879,294,-2168,692,15308,-199,174,-157
883,294,-2144,744,15348,-199,190,-136
