% Author: Mohamed Idries
% Date and Time: 25 July 2016 15:23
% Comment:
% In this trial I installed a single sonar (maxSonar EZ 1) 3m from each wall. 
% *----------------------
% |         
% |           ^
% |	      3m
% |         
% |   
% |  < 3m     X
% |
% 
% Assuming 0 degrees is pointing up and 90 degrees is pointing to the left.
% I obtained the data by slowly moving it around the fixed point from 0 degrees to 90 degrees.
% Format: Milliseconds, Sonar, AccX, AccY, AccZ, GyrX, GyrY, GyrZ
4467,297,-1896,532,15348,-178,-5,-328
4471,294,-1936,528,15392,-214,2,-295
4474,294,-1960,532,15356,-210,108,-242
4478,294,-1984,484,15388,-212,185,-184
4483,294,-2164,420,15452,-214,200,-135
4486,294,-2444,472,15312,-218,142,-114
4490,294,-2492,516,15084,-209,47,-102
4493,297,-2648,656,15348,-232,-24,-71
4497,297,-2628,632,15352,-234,-99,-81
4500,294,-2528,640,15380,-270,-92,-103
4504,294,-2436,708,15352,-264,-54,-108
4507,294,-2468,672,15328,-270,-44,-124
4511,294,-2408,624,15240,-252,-41,-116
4514,294,-2296,632,15292,-259,-71,-129
4518,299,-2244,584,15532,-258,-21,-137
4521,297,-2052,504,15524,-243,59,-158
4526,297,-2076,584,15504,-224,175,-177
4529,297,-2024,536,15484,-211,260,-187
4533,297,-2136,596,15424,-202,304,-199
4537,297,-2124,548,15276,-222,309,-175
4540,297,-2280,568,15352,-219,350,-173
4544,297,-2376,748,15464,-234,402,-194
4547,297,-2476,584,15264,-203,354,-173
4551,299,-2584,620,15208,-221,365,-191
4554,297,-2512,596,15360,-211,293,-207
4558,297,-2480,528,15228,-202,348,-222
4562,299,-2268,576,15380,-223,363,-257
4566,299,-2224,544,15392,-214,375,-291
4570,297,-2432,628,15308,-188,402,-271
4573,297,-2448,628,15256,-218,384,-265
4577,297,-2324,564,15420,-229,366,-300
4580,297,-2764,608,15172,-232,319,-299
4584,297,-2664,556,15352,-224,191,-309
4588,297,-2936,524,15248,-205,75,-333
4591,297,-2932,712,15252,-221,-68,-259
4595,297,-2872,700,15264,-220,-207,-214
4598,297,-2604,508,15444,-229,-279,-204
4602,297,-2628,616,15324,-206,-282,-248
4605,297,-2668,768,15464,-212,-322,-208
4610,297,-2708,776,15272,-244,-295,-124
4614,297,-2700,836,15152,-211,-252,-118
4617,297,-2732,748,15140,-210,-250,-154
4621,297,-2580,700,15300,-210,-251,-189
4624,297,-2684,668,15276,-242,-289,-194
4628,297,-2492,552,15320,-277,-376,-166
4632,297,-2304,536,15164,-229,-331,-162
4635,297,-2044,504,15464,-226,-270,-157
4639,297,-1860,424,15324,-253,-212,-177
4642,297,-1836,288,15428,-238,-122,-187
4646,297,-1696,320,15532,-209,18,-166
4649,297,-1816,432,15292,-208,80,-210
4654,297,-1988,448,15376,-201,135,-191
4657,297,-2088,484,15320,-187,191,-173
4661,297,-2216,668,15404,-196,214,-183
4665,297,-2464,620,15356,-198,207,-178
4668,297,-2604,748,15352,-224,151,-159
4672,297,-2608,816,15420,-219,90,-165
4675,297,-2656,664,15380,-253,74,-158
4679,297,-2620,760,15348,-245,2,-136
4682,297,-2636,720,15304,-284,-68,-134
4686,297,-2608,656,15344,-264,-127,-133
4689,297,-2648,624,15380,-321,-171,-142
4694,299,-2564,804,15120,-294,-174,-143
4698,297,-2568,808,15012,-248,-139,-196
4701,299,-2612,924,15044,-155,-15,-288
4705,299,-2748,896,15344,-245,-101,-357
4708,297,-2500,648,15356,-307,-174,-404
4712,299,-2420,544,15292,-267,-184,-410
4715,297,-2248,464,15232,-267,-174,-390
4719,297,-2152,284,15216,-252,-173,-406
4723,297,-2044,348,15448,-219,-198,-354
4726,297,-1824,220,15388,-231,-159,-275
4730,294,-1908,84,15392,-234,-122,-249
4733,297,-1836,272,15440,-251,-112,-186
4738,297,-1976,388,15500,-236,-82,-123
4741,297,-2100,304,15472,-211,-53,-76
4745,297,-2220,432,15364,-223,-47,-71
4748,297,-2472,568,15484,-229,-37,-90
4752,297,-2412,684,15344,-232,-78,-72
4755,299,-2480,688,15548,-242,-105,-56
4759,299,-2548,680,15448,-282,-115,-45
4762,297,-2412,668,15324,-279,-146,-43
4766,297,-2392,628,15352,-318,-142,-34
4769,297,-2392,696,15432,-295,-120,-50
4773,297,-2352,712,15280,-304,-63,-62
4776,297,-2360,732,15380,-273,-55,-102
4781,297,-2388,740,15288,-267,-4,-128
4784,297,-2172,660,15408,-224,26,-153
4788,297,-2084,624,15368,-203,100,-197
4792,297,-2028,756,15500,-220,209,-249
4795,297,-1996,644,15256,-206,310,-294
4799,297,-1832,416,15384,-220,355,-317
4802,297,-1652,112,15572,-245,409,-326
4806,297,-1620,28,15516,-225,434,-277
4809,297,-1640,-148,15384,-206,502,-188
4813,297,-1596,200,15376,-175,601,-176
4817,297,-1716,328,15364,-132,735,-112
4820,297,-2016,608,15356,-124,819,-137
4825,297,-2416,656,15300,-157,832,-150
4828,297,-2668,716,15120,-169,705,-153
4832,297,-2800,612,15308,-192,510,-145
4835,297,-2916,480,15276,-184,361,-190
4839,294,-2660,492,15480,-204,309,-186
4843,297,-2500,516,15088,-171,232,-200
4846,297,-2532,596,15184,-171,141,-209
4850,297,-2544,496,15328,-155,92,-184
4853,297,-2352,592,15440,-171,111,-168
4857,297,-2448,564,15296,-158,90,-150
4860,297,-2428,508,15288,-166,115,-150
4865,297,-2404,444,15308,-174,117,-144
4868,297,-2500,528,15568,-157,97,-156
4872,297,-2392,468,15320,-184,95,-151
4876,297,-2404,520,15380,-192,97,-152
4879,297,-2248,468,15320,-185,106,-128
4883,297,-2352,376,15340,-152,93,-117
4886,297,-2404,420,15308,-125,66,-91
4890,297,-2440,532,15468,-141,48,-103
4893,297,-2444,512,15280,-139,16,-110
4897,297,-2276,508,15352,-118,20,-95
4900,297,-2392,588,15268,-137,-18,-109
4904,297,-2336,500,15284,-169,-20,-128
4908,297,-2436,604,15392,-172,-98,-135
4912,297,-2304,484,15392,-165,-69,-123
4915,297,-2268,632,15432,-185,-65,-121
4919,297,-2088,644,15348,-180,-40,-125
4922,297,-2048,624,15328,-217,-14,-136
4926,297,-2180,644,15452,-194,49,-131
4929,297,-2040,628,15532,-195,57,-146
4933,297,-2224,632,15312,-188,81,-185
4936,297,-2464,856,15088,-245,66,-154
4940,297,-2444,624,15260,-273,-20,-78
4943,302,-2328,540,15344,-288,-30,-85
4947,297,-2288,492,15460,-251,-16,-31
4951,297,-2224,568,15252,-250,34,13
4955,297,-2324,548,15320,-263,9,-1
4958,299,-2216,520,15436,-237,13,5
4962,297,-2132,508,15528,-201,49,25
4965,297,-2212,520,15552,-198,71,27
4968,297,-2276,584,15416,-182,127,64
4972,297,-2292,624,15292,-202,135,74
4976,297,-2260,512,15456,-207,124,75
4979,297,-2272,508,15396,-219,177,96
4983,297,-2092,536,15404,-187,195,71
4986,297,-2164,564,15276,-219,238,71
4990,297,-2268,624,15392,-215,257,58
4994,299,-2324,660,15268,-256,226,79
4998,297,-2304,584,15340,-232,168,108
5001,297,-2296,492,15348,-233,148,139
5005,297,-2328,460,15360,-234,124,173
5008,297,-2332,576,15264,-237,118,232
5012,297,-2392,656,15324,-260,75,246
5015,297,-2488,740,15156,-267,-44,290
5019,297,-2564,600,15120,-295,-138,326
5022,297,-2472,708,15388,-298,-225,372
5026,297,-2320,608,15292,-305,-269,415
5030,294,-2220,648,15412,-324,-270,489
5033,297,-2156,588,15468,-323,-281,506
5038,297,-2084,604,15324,-332,-273,557
5041,297,-2188,552,15160,-318,-213,584
5045,297,-2100,536,15396,-326,-179,580
5048,297,-2236,440,15444,-302,-163,555
5052,297,-2124,424,15380,-305,-99,535
5056,297,-2124,444,15272,-294,-42,485
5059,299,-2188,436,15436,-265,19,475
5063,297,-2056,516,15428,-256,106,437
5066,297,-2140,496,15432,-251,144,422
5070,297,-2096,484,15336,-248,178,449
5073,297,-2132,540,15476,-274,179,446
5078,297,-2172,560,15344,-251,188,459
5081,297,-1952,520,15316,-241,262,450
5085,297,-2028,552,15572,-258,302,467
5089,297,-2116,608,15456,-255,333,519
5092,297,-2196,644,15308,-263,345,584
5096,297,-2264,620,15336,-281,301,611
5099,297,-2424,432,15268,-288,299,624
5103,299,-2436,608,15172,-257,265,646
5106,297,-2412,572,15460,-277,187,662
5110,299,-2372,616,15380,-294,184,667
5113,297,-2268,596,15344,-294,153,702
5117,297,-2228,604,15472,-322,163,697
5122,297,-2348,608,15196,-332,208,656
5125,297,-2352,508,15344,-308,218,628
5129,297,-2280,516,15364,-341,203,618
5132,297,-2348,628,15432,-328,201,611
5136,297,-2280,524,15336,-317,193,567
5139,297,-2292,660,15352,-320,178,555
5143,299,-2324,596,15256,-334,195,518
5146,297,-2256,608,15348,-333,173,473
5150,299,-2156,624,15304,-329,200,496
5154,299,-2032,616,15388,-364,235,485
5157,299,-1960,680,15316,-336,298,477
5161,299,-1944,644,15340,-347,355,523
5165,297,-2196,528,15304,-346,399,488
5169,297,-2352,480,15244,-344,374,508
5172,297,-2376,484,15388,-321,325,543
5176,297,-2412,560,15456,-317,259,532
5180,297,-2340,576,15300,-319,235,560
5183,297,-2316,576,15488,-325,255,544
5187,297,-2260,468,15348,-341,303,535
5190,297,-2256,584,15220,-322,297,537
5194,299,-2284,468,15452,-304,269,533
5197,297,-2268,532,15248,-293,250,587
5201,299,-2228,544,15412,-289,208,626
5204,299,-2244,544,15284,-311,201,658
5209,299,-2252,640,15392,-322,162,683
5213,297,-2216,500,15368,-325,178,707
5216,294,-2212,480,15324,-293,131,711
5220,297,-2224,536,15424,-297,135,733
5223,294,-2296,620,15224,-332,119,802
5227,297,-2172,620,15352,-307,96,845
5230,297,-2208,696,15360,-320,78,856
5234,297,-1972,576,15332,-338,108,915
5237,297,-2004,588,15292,-319,151,881
5241,297,-1928,504,15444,-321,227,916
5245,297,-2128,452,15448,-324,247,918
5249,297,-2124,540,15232,-283,239,943
5253,297,-2112,504,15536,-313,223,982
5256,297,-2236,516,15180,-325,224,1025
5260,299,-2168,516,15272,-330,203,1009
5263,297,-2172,508,15452,-337,229,1006
5267,297,-2104,588,15248,-319,235,994
5271,297,-2148,568,15380,-320,227,981
5274,297,-2204,484,15344,-300,258,959
5278,299,-2324,588,15424,-311,218,982
5281,297,-2224,556,15404,-309,193,969
5285,299,-2156,488,15360,-313,184,982
5288,297,-2024,480,15364,-340,167,1011
5293,297,-1984,440,15464,-315,210,1066
5297,297,-2044,584,15364,-322,241,1071
5300,299,-2032,672,15284,-339,229,1088
5304,299,-1992,412,15336,-347,258,1116
5307,297,-2216,512,15372,-322,352,1065
5311,297,-2236,480,15328,-333,367,1049
5315,297,-2228,504,15448,-318,381,1060
5318,297,-2268,416,15440,-327,349,1034
5322,297,-2384,504,15476,-348,351,995
5325,297,-2460,472,15324,-336,353,970
5329,294,-2480,476,15264,-317,305,910
5334,294,-2388,468,15364,-338,323,855
5337,297,-2288,480,15372,-318,314,806
5341,297,-2360,436,15164,-307,291,816
5344,299,-2400,384,15280,-290,304,792
5348,297,-2452,524,15372,-303,257,748
5351,297,-2348,524,15412,-299,195,776
5355,297,-2240,476,15264,-303,175,806
5358,297,-2228,564,15412,-270,187,790
5362,297,-1984,536,15400,-273,231,786
5366,297,-2076,544,15344,-273,280,804
5369,297,-2100,572,15472,-282,279,824
5373,297,-2088,504,15152,-242,285,907
5377,297,-2084,408,15332,-249,233,944
5381,297,-2004,560,15368,-268,276,946
5384,297,-1984,600,15540,-284,320,943
5388,297,-2072,640,15504,-313,370,924
5392,297,-2084,504,15244,-307,416,931
5395,297,-2260,476,15396,-303,449,911
5399,297,-2280,400,15244,-306,476,899
5402,297,-2240,488,15380,-285,440,906
5406,297,-2524,484,15392,-288,405,885
5409,299,-2416,536,15188,-245,379,842
5413,297,-2332,572,15460,-275,382,850
5416,297,-2488,476,15336,-291,392,784
5421,297,-2620,540,15408,-278,377,783
5425,297,-2628,540,15160,-285,309,743
5428,297,-2544,520,15320,-260,231,766
5432,297,-2452,588,15268,-284,189,749
5435,299,-2440,556,15244,-306,156,718
5439,297,-2304,564,15404,-312,176,723
5442,297,-2320,684,15476,-296,161,714
5446,297,-2212,516,15376,-272,181,710
5449,299,-2388,520,15380,-286,170,700
5453,297,-2400,612,15376,-305,140,695
5457,297,-2344,432,15304,-289,98,716
5460,299,-2288,536,15344,-289,65,737
5465,297,-2144,548,15444,-306,56,754
5468,299,-2208,492,15360,-304,93,790
5472,299,-2160,500,15232,-287,95,793
5475,299,-2160,540,15400,-301,109,789
5479,495,-2140,628,15344,-262,82,882
5482,622,-2180,552,15460,-309,97,867
5486,619,-2216,548,15472,-295,118,876
5489,619,-2292,528,15260,-309,121,837
5493,619,-2244,588,15252,-311,103,871
5496,619,-2120,376,15276,-314,43,896
5500,619,-2084,448,15300,-295,42,959
5504,619,-2048,676,15312,-314,22,1013
5508,617,-2028,600,15568,-308,95,1033
5512,617,-2192,436,15432,-320,142,1004
5515,617,-2248,516,15408,-314,216,987
5519,617,-2340,500,15252,-303,195,974
5522,617,-2316,468,15312,-299,167,988
5526,617,-2184,540,15364,-291,183,1035
5529,635,-2136,556,15360,-321,164,1042
5533,642,-1992,660,15176,-308,182,1087
5537,642,-2144,544,15288,-320,219,1132
5540,642,-2240,572,15360,-351,245,1107
5544,642,-2248,472,15384,-333,262,1074
5548,640,-2408,424,15216,-302,251,1038
5552,642,-2520,560,15348,-305,172,1062
5556,642,-2300,576,15148,-286,175,1057
5559,622,-2168,628,15388,-290,105,1177
5563,599,-2100,704,15560,-338,134,1213
5567,576,-2176,716,15584,-350,156,1214
5570,558,-2112,528,15312,-354,208,1200
5574,538,-2204,572,15236,-351,202,1178
5577,520,-2148,472,15252,-316,230,1154
5581,508,-2216,452,15328,-292,276,1119
5585,508,-2180,544,15384,-312,314,1130
5588,508,-2304,484,15408,-307,297,1128
5593,508,-2368,696,15348,-333,241,1114
5596,508,-2200,596,15384,-343,199,1152
5600,508,-2212,552,15412,-350,251,1163
5604,508,-2156,524,15372,-341,269,1109
5607,502,-2156,492,15392,-333,263,1138
5611,487,-2192,496,15336,-313,252,1211
5614,469,-2120,560,15300,-321,222,1243
5618,454,-2092,692,15376,-362,220,1344
5622,441,-2052,632,15600,-357,266,1363
5625,426,-2132,640,15320,-383,303,1378
5629,414,-2156,508,15344,-392,302,1377
5633,411,-2168,508,15404,-379,241,1449
5637,414,-2120,504,15448,-359,262,1461
5641,414,-2204,488,15408,-346,332,1438
5644,414,-2128,528,15364,-368,364,1430
5648,414,-2240,520,15292,-374,350,1419
5651,414,-2348,564,15352,-348,328,1461
5655,414,-2408,492,15480,-347,282,1414
5659,401,-2472,528,15460,-352,245,1395
5662,388,-2376,596,15340,-360,236,1387
5666,375,-2224,624,15464,-361,159,1377
5670,365,-2172,520,15236,-314,145,1391
5673,353,-2292,524,15168,-338,114,1384
5678,342,-2444,632,15300,-347,87,1400
5681,335,-2376,608,15308,-326,95,1403
5685,337,-2264,604,15284,-354,30,1404
5688,337,-2320,560,15368,-347,2,1412
5692,337,-2224,472,15292,-355,-30,1478
5696,337,-2180,476,15456,-328,-52,1505
5699,337,-2156,448,15352,-326,-39,1502
5703,337,-2172,536,15476,-300,-12,1520
5706,335,-2108,572,15340,-332,-22,1557
5710,325,-2292,648,15152,-330,-85,1629
5713,312,-2140,644,15204,-330,-152,1655
5718,304,-1980,684,15376,-305,-225,1797
5722,297,-1860,664,15400,-300,-159,1812
5725,299,-1936,468,15316,-337,-59,1803
5729,299,-2036,672,15468,-318,-10,1815
5732,299,-2060,564,15372,-335,36,1888
5736,299,-2044,636,15272,-343,77,1883
5740,299,-2000,504,15360,-344,110,1877
5743,299,-2148,492,15436,-337,168,1857
5747,299,-2204,540,15380,-338,228,1817
5750,299,-2140,416,15284,-347,264,1772
5754,299,-2180,600,15400,-355,327,1730
5758,299,-2276,520,15240,-327,407,1661
5762,299,-2516,472,15324,-347,397,1588
5766,302,-2552,516,15240,-338,405,1537
5769,302,-2560,536,15500,-335,337,1479
5773,302,-2252,708,15216,-342,337,1465
5777,497,-2212,640,15344,-366,359,1462
5780,624,-2328,624,15444,-369,411,1455
5784,622,-2352,524,15352,-381,460,1408
5787,622,-2408,668,15272,-378,415,1356
5791,622,-2428,556,15288,-352,417,1309
5795,622,-2372,576,15320,-385,420,1244
5798,622,-2540,676,15348,-368,416,1178
5803,622,-2568,696,15312,-369,362,1115
5806,622,-2552,568,15300,-373,330,1057
5810,619,-2364,672,15128,-376,295,1008
5814,622,-2304,556,15252,-371,294,989
5817,622,-2312,656,15312,-358,282,933
5821,619,-2240,592,15260,-345,259,890
5824,619,-2252,596,15376,-364,220,826
5828,642,-2200,568,15380,-327,189,770
5831,642,-2096,564,15364,-316,165,751
5835,642,-2172,448,15344,-293,169,745
5839,642,-2208,780,15284,-332,172,796
5842,642,-2176,624,15272,-345,214,927
5847,642,-2164,808,15392,-326,238,889
5850,640,-2304,856,15356,-382,249,919
5854,640,-2204,596,15348,-392,273,941
5857,640,-2132,436,15220,-396,326,964
5861,642,-2196,488,15372,-378,405,936
5864,640,-2392,492,15300,-347,409,911
5868,640,-2504,484,15308,-360,325,880
5872,642,-2500,608,15444,-352,296,869
5875,642,-2464,528,15400,-326,307,800
5879,642,-2332,456,15368,-334,362,749
5882,642,-2212,376,15152,-290,384,676
5886,642,-2372,452,15420,-315,438,625
5890,640,-2392,480,15336,-280,456,515
5894,645,-2440,480,15300,-250,455,458
5898,642,-2316,444,15384,-276,459,408
5901,642,-2448,552,15316,-257,484,371
5905,642,-2404,552,15344,-240,492,286
5908,642,-2484,404,15380,-234,513,232
5912,642,-2456,548,15312,-217,523,124
5915,642,-2480,428,15336,-187,516,75
5919,642,-2400,576,15256,-216,515,5
5922,642,-2596,492,15284,-170,462,-49
5926,645,-2532,516,15248,-166,394,-105
5929,645,-2372,540,15320,-174,367,-150
5934,645,-2364,504,15352,-141,336,-197
5938,645,-2100,492,15440,-143,343,-247
5941,645,-2224,548,15428,-139,374,-278
5945,645,-2252,472,15484,-130,353,-330
5948,645,-2288,532,15376,-114,319,-341
5952,645,-2328,724,15288,-102,259,-331
5955,645,-2372,624,15356,-119,250,-270
5959,645,-2248,600,15440,-147,252,-225
5963,645,-2220,572,15304,-141,315,-227
5966,642,-2188,496,15396,-138,341,-224
5970,645,-2292,572,15400,-144,298,-234
5974,642,-2292,520,15316,-118,327,-246
5978,645,-2220,556,15332,-125,332,-238
5981,645,-2340,576,15288,-105,332,-257
5985,645,-2240,528,15404,-133,357,-233
5989,645,-2308,552,15264,-112,373,-244
5992,642,-2328,496,15384,-101,402,-227
5996,645,-2248,640,15268,-128,428,-242
5999,642,-2296,544,15312,-139,395,-250
6003,645,-2332,612,15396,-140,373,-228
6006,642,-2460,496,15436,-148,371,-240
6010,645,-2336,608,15340,-129,342,-263
6014,642,-2236,604,15340,-107,360,-273
6018,642,-2320,576,15352,-140,364,-229
6022,642,-2300,612,15140,-129,366,-236
6025,645,-2332,560,15256,-116,349,-237
6029,645,-2532,564,15336,-148,322,-219
6032,645,-2292,576,15220,-132,265,-214
6036,645,-2336,636,15276,-134,282,-193
6040,642,-2348,576,15312,-144,275,-188
6043,645,-2432,588,15392,-150,265,-182
6047,645,-2316,660,15196,-154,166,-200
6050,642,-2260,604,15288,-148,153,-196
6054,645,-2292,668,15396,-166,111,-196
6057,645,-2308,604,15304,-141,119,-175
6062,645,-2256,604,15300,-154,154,-174
6066,645,-2284,556,15356,-177,146,-163
6069,642,-2164,552,15304,-166,168,-155
6073,642,-2276,428,15300,-176,203,-144
6076,642,-2164,636,15440,-176,225,-133
6080,642,-2336,604,15484,-170,269,-142
6083,642,-2284,608,15516,-177,280,-127
6087,642,-2304,580,15556,-158,290,-135
6091,642,-2204,512,15392,-178,281,-126
6094,642,-2412,576,15284,-197,273,-145
6098,645,-2400,552,15244,-182,260,-112
6102,645,-2216,512,15260,-204,266,-150
6106,645,-2180,580,15312,-196,319,-137
6110,642,-2212,576,15272,-192,300,-122
6113,645,-2400,628,15372,-203,301,-121
6117,642,-2448,568,15356,-203,253,-134
6120,645,-2284,660,15340,-182,239,-125
6124,642,-2308,528,15292,-195,227,-121
6127,645,-2464,524,15464,-182,201,-130
6131,642,-2316,576,15232,-206,175,-94
6134,642,-2288,576,15300,-174,192,-114
6138,642,-2252,524,15472,-186,200,-122
6142,642,-2292,600,15368,-191,229,-114
6146,642,-2360,564,15304,-174,170,-107
6150,640,-2260,680,15276,-205,209,-115
6153,627,-2316,608,15284,-217,185,-98
6157,604,-2248,640,15400,-219,203,-110
6160,584,-2212,592,15188,-219,225,-111
6164,563,-2284,508,15340,-200,226,-137
6168,543,-2316,632,15424,-190,199,-94
6171,525,-2544,612,15452,-203,169,-108
6175,510,-2404,644,15336,-185,162,-119
6178,510,-2516,548,15340,-202,96,-117
6182,510,-2352,560,15276,-185,80,-127
6185,510,-2216,632,15368,-170,102,-125
6190,510,-2368,572,15236,-189,75,-106
6193,510,-2276,536,15348,-186,119,-137
6197,513,-2272,592,15324,-171,117,-139
6201,513,-2272,500,15228,-207,104,-118
6204,510,-2280,656,15292,-207,75,-144
6208,513,-2216,628,15276,-209,82,-143
6211,513,-2304,576,15284,-179,92,-129
6215,510,-2204,540,15376,-168,94,-124
6218,513,-2244,560,15272,-159,133,-137
6222,622,-2052,584,15304,-188,149,-143
6225,640,-2184,632,15368,-213,151,-94
6230,637,-2236,548,15296,-192,165,-120
6233,640,-2288,656,15400,-188,157,-99
6237,640,-2352,680,15304,-212,144,-90
6241,640,-2244,596,15212,-211,138,-67
6244,640,-2184,624,15360,-212,122,-10
6248,637,-2188,592,15356,-212,101,31
6251,629,-2256,564,15456,-217,84,50
6255,607,-2212,596,15372,-207,86,101
6258,586,-2304,640,15328,-216,66,141
6262,566,-2288,592,15400,-192,37,172
6265,548,-2232,532,15396,-205,38,195
6269,530,-2172,636,15344,-208,81,215
6273,513,-2304,612,15528,-225,69,219
6277,505,-2280,604,15368,-218,86,218
6280,505,-2244,552,15336,-228,83,227
6284,505,-2372,592,15264,-238,70,266
6287,505,-2468,476,15384,-220,24,263
6291,508,-2292,544,15396,-240,22,258
6294,508,-2164,592,15496,-208,25,302
6298,508,-2276,612,15368,-231,3,310
6301,500,-2220,528,15320,-246,9,326
6305,482,-2204,520,15496,-237,-8,378
6308,467,-2084,412,15592,-218,7,430
6311,452,-1976,760,15468,-261,17,538
6316,439,-1944,632,15420,-263,107,640
6320,426,-1984,852,15332,-255,41,727
6323,411,-2044,796,15456,-326,8,867
6326,411,-1884,540,15428,-327,5,992
6330,411,-1940,548,15228,-286,21,1061
6334,411,-1964,740,15424,-310,97,1102
6337,411,-2016,596,15500,-314,54,1185
6341,411,-2136,596,15340,-344,63,1205
6344,411,-2200,656,15368,-324,65,1249
6348,411,-2276,644,15224,-351,80,1232
6351,414,-2304,556,15308,-350,36,1242
6355,411,-2284,640,15416,-338,-4,1264
6359,411,-2172,508,15416,-345,54,1225
6363,411,-2032,572,15184,-349,85,1251
6367,411,-2052,540,15360,-349,148,1257
6370,449,-2176,544,15304,-335,173,1281
6374,627,-2184,612,15252,-352,173,1287
6377,627,-2232,684,15360,-361,220,1228
6381,627,-2296,508,15320,-329,192,1168
6385,627,-2208,620,15212,-339,217,1155
6388,624,-2188,760,15424,-352,182,1211
6392,624,-2204,812,15348,-344,190,1231
6395,624,-2172,652,15440,-340,168,1281
6400,624,-2244,580,15352,-360,158,1272
6404,624,-2140,516,15236,-339,171,1314
6407,624,-2212,764,15320,-348,177,1320
6411,627,-2332,716,15212,-352,99,1309
6414,624,-2308,668,15524,-342,98,1341
6418,624,-2332,712,15204,-343,94,1309
6421,642,-2284,472,15440,-344,104,1265
6425,645,-2344,696,15316,-340,106,1264
6429,642,-2264,516,15352,-343,62,1279
6432,642,-2236,628,15312,-313,89,1296
6436,642,-2176,596,15368,-316,176,1194
6439,642,-2192,792,15408,-351,206,1165
6444,642,-2224,564,15412,-357,232,1161
6448,642,-2344,656,15304,-333,245,1114
6451,624,-2248,544,15308,-349,253,1067
6455,601,-2384,604,15296,-340,303,996
6458,579,-2400,572,15316,-325,271,997
6462,561,-2208,664,15336,-349,230,1014
6466,543,-2220,648,15416,-342,248,1024
6469,523,-2316,672,15392,-350,273,971
6473,508,-2348,484,15268,-314,250,943
6476,510,-2276,560,15404,-326,277,932
6480,510,-2316,608,15284,-332,231,894
6483,508,-2364,556,15256,-338,241,876
6488,510,-2272,472,15456,-322,206,870
6492,510,-2252,568,15384,-313,209,889
6495,510,-2280,572,15336,-360,192,918
6499,510,-2216,500,15372,-338,189,913
6502,510,-2184,536,15420,-320,243,890
6506,510,-2260,496,15344,-315,285,856
6509,510,-2276,524,15404,-292,302,842
6513,510,-2268,564,15288,-322,270,848
6516,510,-2204,664,15268,-302,283,855
6520,624,-2208,640,15352,-348,273,872
6524,637,-2168,624,15352,-345,307,877
6528,637,-2072,596,15340,-313,315,921
6532,637,-2268,624,15276,-337,303,948
6535,637,-2000,568,15280,-331,267,981
6539,637,-1992,588,15360,-328,286,1033
6542,637,-2104,544,15428,-339,350,1021
6546,637,-2120,536,15404,-329,321,1057
6550,637,-2300,680,15364,-323,305,1128
6553,637,-2180,636,15396,-337,283,1142
6557,637,-2236,536,15340,-352,241,1132
6560,637,-2224,632,15444,-344,258,1113
6564,635,-2400,716,15444,-327,215,1142
6568,635,-2252,708,15260,-348,159,1147
6572,645,-2276,776,15440,-339,176,1159
6576,645,-2164,592,15360,-356,185,1225
6579,645,-2252,500,15380,-353,200,1240
6583,645,-2156,548,15308,-353,148,1306
6587,645,-2184,576,15256,-345,193,1287
6590,642,-2268,624,15368,-344,201,1248
6594,645,-2288,596,15336,-334,214,1224
6598,642,-2264,632,15508,-359,156,1298
6601,642,-2012,680,15404,-354,175,1295
6605,642,-2088,664,15280,-367,214,1305
6608,642,-2196,564,15280,-358,260,1285
6612,642,-2268,680,15312,-339,243,1286
6617,642,-2316,636,15336,-360,181,1328
6620,642,-2212,600,15244,-380,195,1334
6624,642,-2200,428,15368,-363,201,1292
6627,645,-2268,680,15400,-355,231,1299
6631,642,-2272,596,15380,-348,223,1316
6635,642,-2216,620,15300,-371,210,1306
6638,642,-2104,588,15200,-360,236,1334
6642,642,-2044,540,15348,-344,240,1296
6645,642,-2112,636,15256,-333,246,1321
6649,642,-2148,492,15280,-340,308,1344
6653,642,-2196,452,15308,-376,350,1247
6657,642,-2468,596,15284,-342,360,1207
6661,645,-2544,440,15440,-332,329,1166
6664,642,-2556,504,15252,-297,285,1102
6668,645,-2296,520,15224,-311,269,1098
6672,645,-2344,516,15304,-343,277,1104
6675,645,-2380,544,15344,-310,315,1036
6679,642,-2448,576,15368,-300,274,1047
6682,640,-2524,564,15484,-330,244,1018
6686,642,-2484,532,15148,-312,184,988
6690,642,-2428,480,15284,-326,87,994
6693,642,-2136,588,15460,-311,82,1028
6697,645,-2052,532,15392,-334,73,1068
6701,645,-2044,672,15528,-331,156,1064
6705,642,-2056,672,15396,-329,182,1073
6708,642,-2088,616,15384,-323,165,1118
6712,642,-2204,480,15376,-304,165,1137
6716,642,-2100,460,15268,-325,180,1177
6719,645,-2024,476,15348,-335,226,1183
6723,645,-2276,472,15364,-330,217,1177
6726,645,-2284,628,15340,-305,229,1129
6730,642,-2392,548,15320,-326,167,1156
6734,645,-2216,472,15392,-332,150,1157
6737,642,-2480,680,15524,-346,138,1112
6742,642,-2452,632,15384,-314,92,1103
6745,642,-2320,588,15384,-306,70,1097
6749,642,-2200,532,15252,-329,13,1082
6753,642,-2228,688,15436,-340,13,1064
6756,642,-2152,652,15312,-320,54,1051
6760,642,-2080,716,15380,-308,70,1022
6763,642,-2232,540,15328,-322,65,1035
6767,642,-2256,656,15252,-321,55,1040
